date,product,region,quantity,revenue,profit
2025-01-02,Phone,South,8,224000,40320
2025-01-03,Headphones,East,5,17500,3150
2025-01-04,Monitor,West,2,30000,5400
2025-01-05,Keyboard,North,9,16200,2916
2025-01-06,Laptop,South,6,390000,70200
2025-01-07,Phone,East,3,84000,15120
2025-01-08,Headphones,West,10,35000,6300
2025-01-09,Monitor,North,7,105000,18900
2025-01-10,Keyboard,South,4,7200,1296
2025-01-11,Laptop,East,1,65000,11700
2025-01-12,Phone,West,8,224000,40320
2025-01-13,Headphones,North,5,17500,3150
2025-01-14,Monitor,South,2,30000,5400
2025-01-15,Keyboard,East,9,16200,2916
2025-01-16,Laptop,West,6,390000,70200
2025-01-17,Phone,North,3,84000,15120
2025-01-18,Headphones,South,10,35000,6300
2025-01-19,Monitor,East,7,105000,18900
2025-01-20,Keyboard,West,4,7200,1296
2025-01-21,Laptop,North,1,65000,11700
2025-01-22,Phone,South,8,224000,40320
2025-01-23,Headphones,East,5,17500,3150
2025-01-24,Monitor,West,2,30000,5400
2025-01-25,Keyboard,North,9,16200,2916
2025-01-26,Laptop,South,6,390000,70200
2025-01-27,Phone,East,3,84000,15120
2025-01-28,Headphones,West,10,35000,6300
2025-01-29,Monitor,North,7,105000,18900
2025-01-30,Keyboard,South,4,7200,1296
2025-01-31,Laptop,East,1,65000,11700
2025-02-01,Phone,West,8,224000,40320
2025-02-02,Headphones,North,5,17500,3150
2025-02-03,Monitor,South,2,30000,5400
2025-02-04,Keyboard,East,9,16200,2916
2025-02-05,Laptop,West,6,390000,70200
2025-02-06,Phone,North,3,84000,15120
2025-02-07,Headphones,South,10,35000,6300
2025-02-08,Monitor,East,7,105000,18900
2025-02-09,Keyboard,West,4,7200,1296
2025-02-10,Laptop,North,1,65000,11700
2025-02-11,Phone,South,8,224000,40320
2025-02-12,Headphones,East,5,17500,3150
2025-02-13,Monitor,West,2,30000,5400
2025-02-14,Keyboard,North,9,16200,2916
2025-02-15,Laptop,South,6,390000,70200
2025-02-16,Phone,East,3,84000,15120
2025-02-17,Headphones,West,10,35000,6300
2025-02-18,Monitor,North,7,105000,18900
2025-02-19,Keyboard,South,4,7200,1296
2025-02-20,Laptop,East,1,65000,11700
2025-02-21,Phone,West,8,224000,40320
2025-02-22,Headphones,North,5,17500,3150
2025-02-23,Monitor,South,2,30000,5400
